Name,RA,Dec,Dist,M_V,R_eff_kpc,Type,vhel,vhelerr,resolve,sigma,serr_low,serr_up,serr_95
N5897,229.35165,-21.01012,12.54873649930482,-7.293000000000001,0.007629084115918958,GC,101.249,0.25,1,2.855,0.19899999999999984,0.22100000000000009,-999.0
N5904,229.6406,2.08268,7.4782503504556495,-8.509,0.003524042454404515,GC,54.621,0.414,1,4.217,0.3139999999999996,0.3390000000000004,-999.0
N6205,250.42345,36.4613,7.419933277899435,-8.602,0.003474977470400022,GC,-245.916,0.431,1,5.041,0.3050000000000006,0.3409999999999993,-999.0
N6218,251.810484,-1.947821,5.109754090546759,-7.042,0.0027200520018423272,GC,-39.764,1.004,1,4.835,0.7510000000000003,0.9180000000000001,-999.0
N6229,251.745249,47.52779,30.102322206633794,-8.093,0.0035865276381337467,GC,-139.361,0.644,1,2.519,0.4900000000000002,0.6239999999999997,-999.0
N6254,254.287461,-4.099326,5.06757284177282,-7.773999999999999,0.002992417288039502,GC,73.343,1.862,1,6.21,1.2389999999999999,1.6799999999999997,-999.0
N6341,259.28029,43.136523,8.4996295944962,-8.197,0.0020274024621934252,GC,-120.289,0.297,1,4.344,0.242,0.242,-999.0
N6366,261.9347,-5.0766,3.4434993076333846,-6.025,0.003786325244625903,GC,-120.601,0.832,1,3.297,0.6060000000000003,0.7419999999999995,-999.0
N6624,275.919042,-30.361278,8.02047334800666,-7.361000000000001,0.001703134621142559,GC,55.538,0.351,1,3.075,0.2530000000000001,0.2959999999999998,-999.0
N6656,279.10085,-23.9034,3.3036954103681486,-8.585,0.003180929992066209,GC,-146.291,0.856,1,7.08,0.6139999999999999,0.7030000000000003,-999.0
N6715,283.763875,-30.479861,26.278465408384932,-9.998,0.003592724992690735,GC,142.318,0.968,1,6.259,0.6640000000000006,0.7669999999999995,-999.0
N6779,289.147941,30.184501,10.427975448505068,-7.741,0.0029727075962612485,GC,-133.573,0.442,1,4.552,0.3229999999999995,0.36900000000000066,-999.0
N6838,298.442121,18.778402,4.001289735406987,-6.6209999999999996,0.0033171948099324717,GC,-21.566,0.575,1,2.394,0.42800000000000016,0.532,-999.0
N6864,301.520167,-21.922222,20.52106991451269,-8.541,0.003208808799967383,GC,-186.08,0.535,1,4.798,0.40000000000000036,0.45399999999999974,-999.0
N7006,315.3721619,16.1870842,39.318776931469685,-7.502999999999998,0.00434620006363848,GC,-383.151,0.457,1,2.901,0.35399999999999965,0.39800000000000013,-999.0
N7078,322.4932,12.1668,10.710259659660709,-9.178999999999998,0.002025067360383239,GC,-105.157,0.251,1,5.53,0.18700000000000028,0.19899999999999984,-999.0
N7089,323.362552,-0.823318,11.6949939101987,-9.05,0.0030617422460048013,GC,-2.628,0.244,1,6.218,0.16999999999999993,0.18900000000000006,-999.0
N7099,325.09176,-23.17907,8.456682000993546,-7.355999999999999,0.0025337475508804027,GC,-185.046,0.18,1,3.186,0.14100000000000001,0.14700000000000024,-999.0
N7492,347.110199,-15.6108055,24.38933730278913,-5.885999999999999,0.009074295271478853,GC,-175.425,0.46,1,1.731,0.43900000000000006,0.4959999999999998,-999.0
Pal13,346.685812,12.7712498,23.474697253405996,-3.1430000000000007,0.007761539304106129,GC,26.059,0.235,0,-999.0,-999.0,-999.0,1.486
Pal14,242.754425,14.9584446,73.5868139651044,-5.2940000000000005,0.029054606862065777,GC,72.994,0.419,0,-999.0,-999.0,-999.0,1.542
Pal2,71.5247955,31.3816948,26.169775679700713,-8.278999999999998,0.008489854781376475,GC,-111.669,1.262,1,4.316,0.8839999999999999,1.1509999999999998,-999.0
Pal5,229.022,-0.1113,21.93814991897908,-4.936,0.02046894809763789,GC,-58.246,0.561,1,2.579,0.7350000000000001,0.7069999999999999,-999.0
Pal7,272.684441,-7.207595,4.55407312683254,-6.702,0.003205837341072786,GC,158.15,1.41,1,4.938,0.9559999999999995,1.3940000000000001,-999.0
Peg3,336.1,5.41,214.7830474130533,-4.170000000000002,0.10357046660439397,G,-259.982,1.082,1,2.78,0.9269999999999998,1.1830000000000003,-999.0
Peg4,328.539,26.62,89.94975815300347,-4.25,0.04163193157751107,G,-271.311,1.138,1,3.365,0.9200000000000004,1.2269999999999994,-999.0
Pisc2,344.6364583,5.9555444,182.8100216142741,-4.279999999999998,0.07096950604514726,G,-227.773,1.61,1,3.569,1.2650000000000001,1.7830000000000004,-999.0
Scl,15.0183334,-33.7186127,83.94599865193982,-10.770000000000001,0.2726813385739052,G,110.666,0.443,1,8.664,0.3200000000000003,0.3290000000000006,-999.0
